starttime,stoptime,start station name,end station name,start station latitude,start station longitude,end station latitude,end station longitude,usertype,day of week,start date,stop date,tripduration
2022-01-31 09:58:00,2022-01-31 10:09:00,Fairmount Ave,Newark Ave,40.725726,-74.071959,40.72152515,-74.046304543,member,Thursday,04/15/2021,04/15/2021,0 days 00:11:00
2022-01-31 09:26:00,2022-01-31 09:44:00,Fairmount Ave,Newark Ave,40.725726,-74.071959,40.72152515,-74.046304543,member,Saturday,04/10/2021,04/10/2021,0 days 00:18:00
2022-01-31 12:07:00,2022-01-31 12:10:00,Brunswick & 6th,Newark Ave,40.726011,-74.050388,40.72152515,-74.046304543,member,Friday,04/16/2021,04/16/2021,0 days 00:03:00
2022-01-31 10:02:00,2022-01-31 10:15:00,Fairmount Ave,Newark Ave,40.725726,-74.071959,40.72152515,-74.046304543,casual,Saturday,04/10/2021,04/10/2021,0 days 00:13:00
2022-01-31 14:16:00,2022-01-31 14:21:00,Brunswick & 6th,Manila & 1st,40.726012,-74.050389,40.721651,-74.042884,member,Thursday,04/08/2021,04/08/2021,0 days 00:05:00
2022-01-31 18:57:00,2022-01-31 19:32:00,Van Vorst Park,Manila & 1st,40.718488,-74.047726,40.72165072487999,-74.04288411140442,casual,Sunday,04/04/2021,04/04/2021,0 days 00:35:00
2022-01-31 14:22:00,2022-01-31 14:27:00,Van Vorst Park,Manila & 1st,40.718488,-74.047726,40.72165072487999,-74.04288411140442,casual,Monday,04/26/2021,04/26/2021,0 days 00:05:00
2022-01-31 07:04:00,2022-01-31 07:09:00,Brunswick & 6th,Manila & 1st,40.726011,-74.050388,40.72165072487999,-74.04288411140442,member,Tuesday,04/20/2021,04/20/2021,0 days 00:05:00
2022-01-31 19:18:00,2022-01-31 19:23:00,Brunswick & 6th,Manila & 1st,40.726011,-74.050388,40.72165072487999,-74.04288411140442,member,Friday,04/09/2021,04/09/2021,0 days 00:05:00
2022-01-31 07:05:00,2022-01-31 07:12:00,Brunswick & 6th,Manila & 1st,40.726011,-74.050388,40.72165072487999,-74.04288411140442,member,Thursday,04/15/2021,04/15/2021,0 days 00:07:00
2022-01-31 07:54:00,2022-01-31 07:58:00,Brunswick & 6th,Manila & 1st,40.726011,-74.050388,40.72165072487999,-74.04288411140442,member,Wednesday,04/28/2021,04/28/2021,0 days 00:04:00
